race_cat,educ_cat,death_cat,date,date_start,model,standard_error,segment,mpc,mpc_lower,mpc_upper,mpc_pval,modeled_n_deaths
Total,Less than BA/BS,Alcohol,2020-10-31,2020-10-01,0.32841000000000004,0.057300000000000004,NA,NA,NA,NA,NA,25.007180110200004
Total,Less than BA/BS,Alcohol,2020-11-30,2020-11-01,0.30182000000000003,0.06703,NA,NA,NA,NA,NA,22.9706237946
Total,Less than BA/BS,Benzodiazepine,2016-01-31,2016-01-03,0.14872000000000002,0.04897,0,0.561,0.113,1.011,0.01497,11.339499943200002
Total,Less than BA/BS,Benzodiazepine,2016-02-29,2016-02-01,0.14955000000000002,0.03206,NA,NA,NA,NA,NA,11.407590252
Total,Less than BA/BS,Benzodiazepine,2016-03-31,2016-03-01,0.15039000000000002,0.04897,NA,NA,NA,NA,NA,11.476829374200003
Total,Less than BA/BS,Benzodiazepine,2016-04-30,2016-04-01,0.15123000000000003,0.03701,NA,NA,NA,NA,NA,11.545959834600003
Total,Less than BA/BS,Benzodiazepine,2016-05-31,2016-05-01,0.15208000000000002,0.03701,NA,NA,NA,NA,NA,11.6160772288
Total,Less than BA/BS,Benzodiazepine,2016-06-30,2016-06-01,0.15293000000000004,0.05235000000000001,NA,NA,NA,NA,NA,11.686084778000003
Total,Less than BA/BS,Benzodiazepine,2016-07-31,2016-07-01,0.15379000000000004,0.05552,NA,NA,NA,NA,NA,11.765170298700003
Total,Less than BA/BS,Benzodiazepine,2016-08-31,2016-08-01,0.15465,0.03701,NA,NA,NA,NA,NA,11.844852277500001
Total,Less than BA/BS,Benzodiazepine,2016-09-30,2016-09-01,0.15552000000000002,0.04718,NA,NA,NA,NA,NA,11.925006105600001
Total,Less than BA/BS,Benzodiazepine,2016-10-31,2016-10-01,0.15639000000000003,0.05068,NA,NA,NA,NA,NA,12.005764722900002
Total,Less than BA/BS,Benzodiazepine,2016-11-30,2016-11-01,0.15727000000000002,0.05235000000000001,NA,NA,NA,NA,NA,12.086992140800001
Total,Less than BA/BS,Benzodiazepine,2016-12-31,2016-12-01,0.15815,0.0434,NA,NA,NA,NA,NA,12.168829609000001
Total,Less than BA/BS,Benzodiazepine,2017-01-31,2017-01-01,0.15904000000000004,0.0483,NA,NA,NA,NA,NA,12.251597097600003
Total,Less than BA/BS,Benzodiazepine,2017-02-28,2017-02-01,0.15993000000000004,0.0483,NA,NA,NA,NA,NA,12.333133092600004
Total,Less than BA/BS,Benzodiazepine,2017-03-31,2017-03-01,0.16083,0.0483,NA,NA,NA,NA,NA,12.4169846895
Total,Less than BA/BS,Benzodiazepine,2017-04-30,2017-04-01,0.16173,0.0483,NA,NA,NA,NA,NA,12.5005289634
Total,Less than BA/BS,Benzodiazepine,2017-05-31,2017-05-01,0.16264,0.03651,NA,NA,NA,NA,NA,12.585473536
Total,Less than BA/BS,Benzodiazepine,2017-06-30,2017-06-01,0.16355,0.04281000000000001,NA,NA,NA,NA,NA,12.6701089215
Total,Less than BA/BS,Benzodiazepine,2017-07-31,2017-07-01,0.16447,0.04281000000000001,NA,NA,NA,NA,NA,12.7386011621
Total,Less than BA/BS,Benzodiazepine,2017-08-31,2017-08-01,0.16539,0.04654,NA,NA,NA,NA,NA,12.8069696883
Total,Less than BA/BS,Benzodiazepine,2017-09-30,2017-09-01,0.16632,0.03873,NA,NA,NA,NA,NA,12.8761750656
Total,Less than BA/BS,Benzodiazepine,2017-10-31,2017-10-01,0.16725,0.054770000000000006,NA,NA,NA,NA,NA,12.9452520225
Total,Less than BA/BS,Benzodiazepine,2017-11-30,2017-11-01,0.16819,0.04999,NA,NA,NA,NA,NA,13.0151678668
Total,Less than BA/BS,Benzodiazepine,2017-12-31,2017-12-01,0.16914,0.03651,NA,NA,NA,NA,NA,13.085729216400003
Total,Less than BA/BS,Benzodiazepine,2018-01-31,2018-01-01,0.17008,0.05642,NA,NA,NA,NA,NA,13.155483904
Total,Less than BA/BS,Benzodiazepine,2018-02-28,2018-02-01,0.17104000000000003,0.04293,NA,NA,NA,NA,NA,13.227041451200002
Total,Less than BA/BS,Benzodiazepine,2018-03-31,2018-03-01,0.17200000000000001,0.03883,NA,NA,NA,NA,NA,13.298276320000001
Total,Less than BA/BS,Benzodiazepine,2018-04-30,2018-04-01,0.17296000000000003,0.04483,NA,NA,NA,NA,NA,13.369577963200003
Total,Less than BA/BS,Benzodiazepine,2018-05-31,2018-05-01,0.17393000000000003,0.04093,NA,NA,NA,NA,NA,13.441520855300002
Total,Less than BA/BS,Benzodiazepine,2018-06-30,2018-06-01,0.17491000000000004,0.04293,NA,NA,NA,NA,NA,13.514300462100003
Total,Less than BA/BS,Benzodiazepine,2018-07-31,2018-07-01,0.17589000000000002,0.04293,NA,NA,NA,NA,NA,13.583052483000001
Total,Less than BA/BS,Benzodiazepine,2018-08-31,2018-08-01,0.17688,0.03883,NA,NA,NA,NA,NA,13.6522670064
Total,Less than BA/BS,Benzodiazepine,2018-09-30,2018-09-01,0.17787,0.03883,NA,NA,NA,NA,NA,13.7216335179
Total,Less than BA/BS,Benzodiazepine,2018-10-31,2018-10-01,0.17887,0.04293,NA,NA,NA,NA,NA,13.791456538799999
Total,Less than BA/BS,Benzodiazepine,2018-11-30,2018-11-01,0.17987,0.0317,NA,NA,NA,NA,NA,13.8614369268
Total,Less than BA/BS,Benzodiazepine,2018-12-31,2018-12-01,0.18087999999999999,0.04667,NA,NA,NA,NA,NA,13.9318677848
Total,Less than BA/BS,Benzodiazepine,2019-01-31,2019-01-01,0.18189,0.05525,NA,NA,NA,NA,NA,14.0022159642
Total,Less than BA/BS,Benzodiazepine,2019-02-28,2019-02-01,0.18291000000000002,0.05044,NA,NA,NA,NA,NA,14.073977026200001
Total,Less than BA/BS,Benzodiazepine,2019-03-31,2019-03-01,0.18394000000000002,0.043190000000000006,NA,NA,NA,NA,NA,14.145701526600002
Total,Less than BA/BS,Benzodiazepine,2019-04-30,2019-04-01,0.18497,0.04118,NA,NA,NA,NA,NA,14.2175858716
Total,Less than BA/BS,Benzodiazepine,2019-05-31,2019-05-01,0.18601,0.043190000000000006,NA,NA,NA,NA,NA,14.2899131936
Total,Less than BA/BS,Benzodiazepine,2019-06-30,2019-06-01,0.18705,0.04512,NA,NA,NA,NA,NA,14.3624004375
Total,Less than BA/BS,Benzodiazepine,2019-07-31,2019-07-01,0.1881,0.03446,NA,NA,NA,NA,NA,14.435651735999999
Total,Less than BA/BS,Benzodiazepine,2019-08-31,2019-08-01,0.18916,0.04118,NA,NA,NA,NA,NA,14.5093399896
Total,Less than BA/BS,Benzodiazepine,2019-09-30,2019-09-01,0.19022,0.052090000000000004,NA,NA,NA,NA,NA,14.5831915714
Total,Less than BA/BS,Benzodiazepine,2019-10-31,2019-10-01,0.19128,0.04118,NA,NA,NA,NA,NA,14.656709493600001
Total,Less than BA/BS,Benzodiazepine,2019-11-30,2019-11-01,0.19236,0.046959999999999995,NA,NA,NA,NA,NA,14.7319233012
Total,Less than BA/BS,Benzodiazepine,2019-12-31,2019-12-01,0.19344000000000003,0.05044,NA,NA,NA,NA,NA,14.806802899200004
Total,Less than BA/BS,Benzodiazepine,2020-01-31,2020-01-01,0.19452,0.057300000000000004,NA,NA,NA,NA,NA,14.8815930936
Total,Less than BA/BS,Benzodiazepine,2020-02-29,2020-02-01,0.19561,0.0474,NA,NA,NA,NA,NA,14.957570986900002
Total,Less than BA/BS,Benzodiazepine,2020-03-31,2020-03-01,0.19671000000000002,0.06304,NA,NA,NA,NA,NA,15.033717150900001
Total,Less than BA/BS,Benzodiazepine,2020-04-30,2020-04-01,0.19781,0.0474,NA,NA,NA,NA,NA,15.110033346000002
Total,Less than BA/BS,Benzodiazepine,2020-05-31,2020-05-01,0.19892,0.054200000000000005,NA,NA,NA,NA,NA,15.186766212
Total,Less than BA/BS,Benzodiazepine,2020-06-30,2020-06-01,0.20004000000000002,0.05577,NA,NA,NA,NA,NA,15.264434276400003
Total,Less than BA/BS,Benzodiazepine,2020-07-31,2020-07-01,0.20116,0.04554,NA,NA,NA,NA,NA,15.3417510356
Total,Less than BA/BS,Benzodiazepine,2020-08-31,2020-08-01,0.20229000000000003,0.06573000000000001,NA,NA,NA,NA,NA,15.4197393339
Total,Less than BA/BS,Benzodiazepine,2020-09-30,2020-09-01,0.20342000000000002,0.04157,NA,NA,NA,NA,NA,15.497902582400004
Total,Less than BA/BS,Benzodiazepine,2020-10-31,2020-10-01,0.20457,0.0474,NA,NA,NA,NA,NA,15.577232225400001
Total,Less than BA/BS,Benzodiazepine,2020-11-30,2020-11-01,0.20571000000000003,0.06304,NA,NA,NA,NA,NA,15.655977141300001
Total,Less than BA/BS,Cocaine,2016-01-31,2016-01-03,0.07841000000000001,0.026170000000000002,0,2.19,1.745,2.637,0,5.9785515771
Total,Less than BA/BS,Cocaine,2016-02-29,2016-02-01,0.08013,0.029259999999999998,NA,NA,NA,NA,NA,6.112271527200001
Total,Less than BA/BS,Cocaine,2016-03-31,2016-03-01,0.08188,0.026170000000000002,NA,NA,NA,NA,NA,6.248572306399999
Total,Less than BA/BS,Cocaine,2016-04-30,2016-04-01,0.08367000000000001,0.029259999999999998,NA,NA,NA,NA,NA,6.387955163400001
Total,Less than BA/BS,Cocaine,2016-05-31,2016-05-01,0.08551,0.029259999999999998,NA,NA,NA,NA,NA,6.5313700936
Total,Less than BA/BS,Cocaine,2016-06-30,2016-06-01,0.08738,0.039259999999999996,NA,NA,NA,NA,NA,6.677107748
Total,Less than BA/BS,Cocaine,2016-07-31,2016-07-01,0.08929000000000001,0.04138,NA,NA,NA,NA,NA,6.8308216137
Total,Less than BA/BS,Cocaine,2016-08-31,2016-08-01,0.09125,0.03701,NA,NA,NA,NA,NA,6.9889606875
Total,Less than BA/BS,Cocaine,2016-09-30,2016-09-01,0.09325,0.034620000000000005,NA,NA,NA,NA,NA,7.1502496099999995
Total,Less than BA/BS,Cocaine,2016-10-31,2016-10-01,0.09529000000000001,0.0434,NA,NA,NA,NA,NA,7.315233201900001
Total,Less than BA/BS,Cocaine,2016-11-30,2016-11-01,0.09737,0.039259999999999996,NA,NA,NA,NA,NA,7.4833752447999995
Total,Less than BA/BS,Cocaine,2016-12-31,2016-12-01,0.09950999999999999,0.03206,NA,NA,NA,NA,NA,7.656783018599999
Total,Less than BA/BS,Cocaine,2017-01-31,2017-01-01,0.10169000000000002,0.04281000000000001,NA,NA,NA,NA,NA,7.833657626100002
Total,Less than BA/BS,Cocaine,2017-02-28,2017-02-01,0.10391,0.044719999999999996,NA,NA,NA,NA,NA,8.0131048562
Total,Less than BA/BS,Cocaine,2017-03-31,2017-03-01,0.10619000000000002,0.03873,NA,NA,NA,NA,NA,8.198467973500001
Total,Less than BA/BS,Cocaine,2017-04-30,2017-04-01,0.10851000000000001,0.03651,NA,NA,NA,NA,NA,8.3870178558
Total,Less than BA/BS,Cocaine,2017-05-31,2017-05-01,0.11089,0.04281000000000001,NA,NA,NA,NA,NA,8.580934336
Total,Less than BA/BS,Cocaine,2017-06-30,2017-06-01,0.11332,0.03415000000000001,NA,NA,NA,NA,NA,8.7788244756
Total,Less than BA/BS,Cocaine,2017-07-31,2017-07-01,0.1158,0.03651,NA,NA,NA,NA,NA,8.968991394
Total,Less than BA/BS,Cocaine,2017-08-31,2017-08-01,0.11832999999999999,0.04654,NA,NA,NA,NA,NA,9.1628800001
Total,Less than BA/BS,Cocaine,2017-09-30,2017-09-01,0.12093000000000001,0.02886,NA,NA,NA,NA,NA,9.3621684144
Total,Less than BA/BS,Cocaine,2017-10-31,2017-10-01,0.12357000000000001,0.04281000000000001,NA,NA,NA,NA,NA,9.5643933777
Total,Less than BA/BS,Cocaine,2017-11-30,2017-11-01,0.12628,0.03651,NA,NA,NA,NA,NA,9.7720161616
Total,Less than BA/BS,Cocaine,2017-12-31,2017-12-01,0.12905,0.02886,NA,NA,NA,NA,NA,9.984115853
Total,Less than BA/BS,Cocaine,2018-01-31,2018-01-01,0.13187,0.036610000000000004,NA,NA,NA,NA,NA,10.199986255999999
Total,Less than BA/BS,Cocaine,2018-02-28,2018-02-01,0.13476000000000002,0.02894,NA,NA,NA,NA,NA,10.421399122800002
Total,Less than BA/BS,Cocaine,2018-03-31,2018-03-01,0.13771000000000003,0.03883,NA,NA,NA,NA,NA,10.647125767600002
Total,Less than BA/BS,Cocaine,2018-04-30,2018-04-01,0.14073000000000002,0.036610000000000004,NA,NA,NA,NA,NA,10.878241829100002
Total,Less than BA/BS,Cocaine,2018-05-31,2018-05-01,0.14381000000000002,0.036610000000000004,NA,NA,NA,NA,NA,11.113810810100002
Total,Less than BA/BS,Cocaine,2018-06-30,2018-06-01,0.14696000000000004,0.04843,NA,NA,NA,NA,NA,11.354762997600002
Total,Less than BA/BS,Cocaine,2018-07-31,2018-07-01,0.15017,0.04483,NA,NA,NA,NA,NA,11.596833198999999
Total,Less than BA/BS,Cocaine,2018-08-31,2018-08-01,0.15346000000000004,0.04483,NA,NA,NA,NA,NA,11.844622878800003
Total,Less than BA/BS,Cocaine,2018-09-30,2018-09-01,0.15682000000000001,0.0317,NA,NA,NA,NA,NA,12.0977487394
Total,Less than BA/BS,Cocaine,2018-10-31,2018-10-01,0.16026,0.036610000000000004,NA,NA,NA,NA,NA,12.3565652424
Total,Less than BA/BS,Cocaine,2018-11-30,2018-11-01,0.16377,0.04293,NA,NA,NA,NA,NA,12.6207123228
Total,Less than BA/BS,Cocaine,2018-12-31,2018-12-01,0.16735,0.04667,NA,NA,NA,NA,NA,12.8897505185
Total,Less than BA/BS,Cocaine,2019-01-31,2019-01-01,0.17102,0.052090000000000004,NA,NA,NA,NA,NA,13.1654240156
Total,Less than BA/BS,Cocaine,2019-02-28,2019-02-01,0.17476000000000003,0.04512,NA,NA,NA,NA,NA,13.446876743200002
Total,Less than BA/BS,Cocaine,2019-03-31,2019-03-01,0.17859000000000003,0.05044,NA,NA,NA,NA,NA,13.734265715100003
Total,Less than BA/BS,Cocaine,2019-04-30,2019-04-01,0.1825,0.046959999999999995,NA,NA,NA,NA,NA,14.027731099999999
Total,Less than BA/BS,Cocaine,2019-05-31,2019-05-01,0.1865,0.05044,NA,NA,NA,NA,NA,14.32755664
Total,Less than BA/BS,Cocaine,2019-06-30,2019-06-01,0.19058,0.05044,NA,NA,NA,NA,NA,14.633447075
Total,Less than BA/BS,Cocaine,2019-07-31,2019-07-01,0.19475,0.03907,NA,NA,NA,NA,NA,14.94600306
Total,Less than BA/BS,Cocaine,2019-08-31,2019-08-01,0.19902,0.03907,NA,NA,NA,NA,NA,15.2656420212
Total,Less than BA/BS,Cocaine,2019-09-30,2019-09-01,0.20338,0.04512,NA,NA,NA,NA,NA,15.5921012606
Total,Less than BA/BS,Cocaine,2019-10-31,2019-10-01,0.20783000000000001,0.043190000000000006,NA,NA,NA,NA,NA,15.9248428171
Total,Less than BA/BS,Cocaine,2019-11-30,2019-11-01,0.21238,0.04873,NA,NA,NA,NA,NA,16.2651584046
Total,Less than BA/BS,Cocaine,2019-12-31,2019-12-01,0.21703000000000003,0.05824,NA,NA,NA,NA,NA,16.612491900400002
Total,Less than BA/BS,Cocaine,2020-01-31,2020-01-01,0.22179000000000001,0.054200000000000005,NA,NA,NA,NA,NA,16.9678620822
Total,Less than BA/BS,Cocaine,2020-02-29,2020-02-01,0.22664,0.050910000000000004,NA,NA,NA,NA,NA,17.3303199656
Total,Less than BA/BS,Cocaine,2020-03-31,2020-03-01,0.23161,0.05879,NA,NA,NA,NA,NA,17.7009772219
Total,Less than BA/BS,Cocaine,2020-04-30,2020-04-01,0.23668,0.050910000000000004,NA,NA,NA,NA,NA,18.079180488
Total,Less than BA/BS,Cocaine,2020-05-31,2020-05-01,0.24186000000000002,0.06304,NA,NA,NA,NA,NA,18.465067746
Total,Less than BA/BS,Cocaine,2020-06-30,2020-06-01,0.24716000000000002,0.06304,NA,NA,NA,NA,NA,18.860015875600002
Total,Less than BA/BS,Cocaine,2020-07-31,2020-07-01,0.25257,0.06573000000000001,NA,NA,NA,NA,NA,19.2626071737
Total,Less than BA/BS,Cocaine,2020-08-31,2020-08-01,0.2581,0.07319000000000002,NA,NA,NA,NA,NA,19.673907371
Total,Less than BA/BS,Cocaine,2020-09-30,2020-09-01,0.26375,0.050910000000000004,NA,NA,NA,NA,NA,20.094247399999997
Total,Less than BA/BS,Cocaine,2020-10-31,2020-10-01,0.26953,0.050910000000000004,NA,NA,NA,NA,NA,20.523690676599998
Total,Less than BA/BS,Cocaine,2020-11-30,2020-11-01,0.27543,0.057300000000000004,NA,NA,NA,NA,NA,20.9621592729
Total,Less than BA/BS,Drug poisoning,2016-01-31,2016-01-03,1.13754,0.11257,0,0.469,0.266,0.673,3e-5,86.7343650174
Total,Less than BA/BS,Drug poisoning,2016-02-29,2016-02-01,1.1428800000000001,0.12136000000000001,NA,NA,NA,NA,NA,87.1782463872
Total,Less than BA/BS,Drug poisoning,2016-03-31,2016-03-01,1.1482400000000001,0.12552,NA,NA,NA,NA,NA,87.62653474720001
Total,Less than BA/BS,Drug poisoning,2016-04-30,2016-04-01,1.15363,0.11993999999999999,NA,NA,NA,NA,NA,88.0762126826
Total,Less than BA/BS,Drug poisoning,2016-05-31,2016-05-01,1.15904,0.12688,NA,NA,NA,NA,NA,88.5290514944
Total,Less than BA/BS,Drug poisoning,2016-06-30,2016-06-01,1.1644800000000002,0.12484,NA,NA,NA,NA,NA,88.98327340800002
Total,Less than BA/BS,Drug poisoning,2016-07-31,2016-07-01,1.16995,0.1262,NA,NA,NA,NA,NA,89.5029650235
Total,Less than BA/BS,Drug poisoning,2016-08-31,2016-08-01,1.17544,0.1262,NA,NA,NA,NA,NA,90.028536444
Total,Less than BA/BS,Drug poisoning,2016-09-30,2016-09-01,1.1809500000000002,0.12688,NA,NA,NA,NA,NA,90.55321476600001
Total,Less than BA/BS,Drug poisoning,2016-10-31,2016-10-01,1.18649,0.12955,NA,NA,NA,NA,NA,91.0845948339
Total,Less than BA/BS,Drug poisoning,2016-11-30,2016-11-01,1.1920600000000001,0.12276000000000002,NA,NA,NA,NA,NA,91.6158189824
Total,Less than BA/BS,Drug poisoning,2016-12-31,2016-12-01,1.19766,0.13346000000000002,NA,NA,NA,NA,NA,92.1537810276
Total,Less than BA/BS,Drug poisoning,2017-01-31,2017-01-01,1.20328,0.12908,NA,NA,NA,NA,NA,92.69430178319999
Total,Less than BA/BS,Drug poisoning,2017-02-28,2017-02-01,1.2089199999999998,0.114,NA,NA,NA,NA,NA,93.22685711439998
Total,Less than BA/BS,Drug poisoning,2017-03-31,2017-03-01,1.2146,0.12178000000000001,NA,NA,NA,NA,NA,93.77398249
Total,Less than BA/BS,Drug poisoning,2017-04-30,2017-04-01,1.2203,0.12648,NA,NA,NA,NA,NA,94.320135374
Total,Less than BA/BS,Drug poisoning,2017-05-31,2017-05-01,1.2260199999999999,0.12448000000000001,NA,NA,NA,NA,NA,94.872370048
Total,Less than BA/BS,Drug poisoning,2017-06-30,2017-06-01,1.2317799999999999,0.12648,NA,NA,NA,NA,NA,95.42517130739999
Total,Less than BA/BS,Drug poisoning,2017-07-31,2017-07-01,1.2375599999999998,0.12448000000000001,NA,NA,NA,NA,NA,95.85202927079997
Total,Less than BA/BS,Drug poisoning,2017-08-31,2017-08-01,1.2433599999999998,0.13036999999999999,NA,NA,NA,NA,NA,96.27954429919998
Total,Less than BA/BS,Drug poisoning,2017-09-30,2017-09-01,1.2491999999999999,0.11689000000000001,NA,NA,NA,NA,NA,96.710665536
Total,Less than BA/BS,Drug poisoning,2017-10-31,2017-10-01,1.2550599999999998,0.13164,NA,NA,NA,NA,NA,97.14240958659998
Total,Less than BA/BS,Drug poisoning,2017-11-30,2017-11-01,1.26095,0.12648,NA,NA,NA,NA,NA,97.577001734
